Bairro,10000 LUZIANE	DO	MUCURA,10111 PROFESSORA	NONATA	COSTA,10123 PAULINHO	PROMOÇÕES,10222 MICHAEL	SULLYVAN,10333 DAVID	GARCÊS,10456 GLEIDSON	DA	BOA	AGUA,10555 PROFESSORA	ADRIANA,10610 KINZINHO	DO	VOLMIR,10777 PAULO	DA	JUDITE,10789 FLÁVIO	CASCAVELENSE,10888 PROFESSORA	LINDETE,11000 FREITAS	DA	SAÚDE,11111 PASTORA	HELENA	CORDEIRO,11123 DALVA	DO	MANGUINHOS,11190 MAGALY	MORAIS,11222 SEBASTIÃO	UCHÔA,11234 TIA	LURDES,11444 EVILÁSIO	DANTAS,11555 LÉO	DA	BICA,11666 LIBERATO	FILHO,11777 DIONES	LIMA,11789 EDUARDO	CRUZ,11888 SÉRGIO	DO	TANGA,11999 JAIRO	TAXISTA,12012 MARIANGELA,12111 CRISTIANE	GOMES,12123 NENEM	DA	VIUVA,12333 IAGO	MOURA,12344 ALDIZIO,12345 DR	GUTEMBERG,12555 HELIO	ALEGRIA,12666 MARIA	ELENICE,12777 VITORIA	MARTINS,12789 DAYANE,12888 NETO	POLI,13000 MARIA	JÔ,13123 PROFESSOR	ADEILDO,13210 FÁTIMA	INACIO	EX	PROF.	CNEC,13222 FÁBIA	NAPOLEAO,13444 TIAGO	ROCHA,13456 ENFERMEIRA	LEUDA	CARVALHO,13567 PROFESSOR	OZELITO,13789 PROFESSOR	ERIVAN,18000 PROFESSOR	JOSÉ	BESOURO,18024 JOJO,18111 SILVIA	DECORAÇÕES,18133 ANIZIA,18209 EDNILDA,18235 CLENILSON	DA	MANGABEIRA,18400 UELITON	FARIAS,18444 ELIANE,18555 TICO,18666 DR	AURÉLIO,18713 JERUSALEM,18777 FABIO	MARTINS,18888 PROFESSOR	SILVESTRE,18999 PROFESSOR	BOSCO,20111 ALEUTON	SEM	RECURSO,20123 PEDRO	ARTUR,20333 CELIA	DAS	MARIAS,20444 DR	MARCIO	OLIVEIRA	ADVOGADO,20456 VERA	DANTAS,20777 CLAUDIA	MARIA,22000 CLAUDEMIR	TOCA	FOGO,22100 NÚBIA	DO	ABRIGO	MASCOTINHO,22111 VINÍCIUS	OLINDA,22222 RAFAEL	AZEVEDO,22300 GILBERTO	DA	MANGABEIRA,22333 TAZIA	XAVIER,22444 EDILENE	QUEROGA,22555 RAFAEL	OLIVEIRA,22678 PASTORA	PATRÍCIA,22777 GUI	DA	PADARIA,22888 LEIDIANE	CIRÍACO,22999 PITANGA	DA	FUNERÁRIA,27000 LAURO	CARDOSO,27007 SAMIA	REGIS,27111 DIEGO	MARADONA,27123 MARCIO	RABELO,27333 GALILEU,27456 ENFERMEIRA	MARCIA,27555 FAFA,27777 SERGINHO	PARATLETA,27888 MARCELO	DO	PAREDÃO,27999 JUNIOR	GENRO	JULIO,28000 VLADIA	DE	OLIVEIRA,28007 JOSUÉ	CORREIA,28028 MAILSON,28111 JORGE	RODRIGUES,28123 PRISCILA	LIMA,28124 MARLY	DO	BENJAMIN,28333 ADILENE	NOBRE,28456 HAVAGARDO	SILVA,28555 DR	RUBENS,28666 FANTIQUIM,28777 CLENILDO	QUEIROZ,28888 VALDECIR,40000 VIEIRA	DO	TIQUINHO,40111 ALLISON	CAMILO,40123 BETO	RAMIRES,40222 NETA	FREITAS,40444 ADONIAS	DO	TURISMO,40456 JORDANA	BRAGA,40555 NOVO	CONSTRUÇÃO,40789 GIRLANE	DO	CEDRO,40888 ENFERMEIRA	NATECIA,44000 OLIVEIRA	SILVA,44111 DODÓ,44123 GAVIÃO	SILVA,44222 LALÁ,44333 ELISANGELA	SILVA,44444 KEKEU	DO	MUCURA,44456 JEOVANE	DO	GÁS,44555 LURDENIS	VIEIRA,44567 NETO	DANTAS,44777 NILDE	BORGES,44789 LUCIÉDSON	FREITAS,44900 SHEIK	DO	DR	BRUNO,45000 MAJU,45111 BAMBAM	DAS	PEGADINHAS,45112 LUCIANA,45121 MAZE,45123 DUDU	DA	CAPONGA,45222 YURI	MOTA,45234 ALZANIR,45444 PALOMA	DELRIO,45555 FRANCISCO	DO	BALBINO,45678 JUNIOR	DO	ZE	AIRTON,45777 BRUMARK,45789 PATRICIA,45888 ZE	DO	JORNAL,70000 RONALDO	FEITOSA,70007 TONI	 CARVALHO,70100 RUBENILTON,70123 LU	 MAIA,70133 LEILDA	LELÊ,70555 HELENA	PORFÍRIO,70888 DINIZ,Total Votos
CENTRO,121,11,407,9,134,151,24,13,503,220,0,371,74,0,4,195,7,8,0,13,12,54,6,13,6,7,85,0,0,4,14,17,28,6,216,62,342,30,156,415,13,19,189,23,2,10,2,1,0,14,8,10,5,4,10,5,3,0,0,21,0,19,1,312,283,159,188,29,10,9,49,3,8,31,171,163,6,6,128,0,149,9,22,87,41,11,37,12,4,360,7,32,3,8,15,28,247,216,50,178,20,124,9,244,7,2,80,14,44,10,1,126,48,84,106,0,200,30,10,27,17,9,7,17,3,25,70,24,40,14,56,2,0,8,1,4,22,9,8682
CAPONGA(ESTRADA DO PRATIUS),12,83,42,1,17,3,2,221,19,11,0,15,0,1,16,2,0,0,0,15,1,3,0,24,0,0,6,0,0,2,0,0,103,0,39,1,10,0,9,31,1,0,49,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,8,0,0,5,18,6,0,28,0,1,0,0,2,1,5,0,1,1,0,4,0,1,2,152,0,0,0,0,23,0,0,0,0,141,0,38,5,132,14,0,171,0,45,0,0,0,0,2,1,1,3,3,5,0,12,9,2,27,1,0,0,52,1,0,0,52,0,2,0,2,1,0,1,1,1,0,0,1727
GUANACES,101,4,9,3,12,223,0,0,105,161,0,55,4,0,0,69,4,80,0,1,1,0,0,0,0,1,12,0,0,0,0,0,5,0,54,2,107,0,8,21,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,25,4,227,6,0,0,1,35,1,2,1,3,23,0,0,3,1,42,4,0,72,15,0,1,1,0,95,1,1,0,0,4,4,31,32,14,252,0,5,2,222,0,2,2,10,9,13,0,3,0,7,44,0,83,132,0,1,2,1,0,1,0,19,15,173,4,0,5,123,1,2,0,0,0,0,2903
ESPAÇO NOBRE,7,1,33,0,1,16,0,0,15,10,0,13,3,0,0,24,0,0,0,0,0,11,0,2,0,2,7,0,0,0,5,2,1,0,12,1,15,0,11,22,0,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,16,25,11,4,2,1,1,4,1,4,8,2,0,0,5,0,9,0,2,10,1,4,28,0,1,11,0,3,1,2,5,1,21,4,4,5,0,5,3,11,5,0,6,1,0,0,0,10,0,7,13,0,11,0,0,3,2,0,1,3,0,0,7,1,14,0,1,0,0,0,1,0,0,0,533
RIO NOVO,94,1,208,5,37,76,2,3,181,190,0,306,39,1,0,58,1,10,0,5,6,23,12,2,2,1,55,0,0,1,18,0,12,7,87,9,110,3,66,115,6,1,67,2,4,3,1,2,0,4,0,1,2,5,20,1,1,0,0,7,0,2,0,102,131,83,57,5,5,13,16,1,13,37,66,65,2,4,105,0,82,1,15,51,18,1,36,8,23,173,30,4,0,9,5,31,131,185,29,83,3,34,3,321,9,1,32,4,64,22,0,89,10,64,58,0,52,21,4,18,8,22,5,12,2,19,51,16,57,0,18,3,0,2,2,2,12,1,4536
CHORO VAQUEJADOR,11,0,25,0,2,21,0,0,9,23,0,38,1,0,0,11,0,0,0,0,1,1,0,0,0,1,11,0,0,1,0,1,0,0,6,0,28,0,2,8,31,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,5,0,0,7,0,1,0,5,0,12,1,0,0,7,0,4,0,0,2,0,0,11,0,0,12,2,0,0,0,0,70,16,16,0,22,0,0,0,15,3,0,7,1,0,0,0,4,3,18,22,1,33,1,0,0,1,0,0,0,0,1,4,2,0,0,0,1,0,2,0,0,0,0,617
SITIO PEDRO DE SOUZA,5,10,11,0,0,0,1,1,0,2,0,62,0,0,0,1,0,0,0,1,0,12,0,4,0,0,6,0,0,0,0,0,2,0,20,3,4,0,1,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,1,2,3,0,0,2,0,0,0,1,0,12,0,0,1,0,11,0,0,0,0,3,0,41,1,7,3,0,16,0,5,0,0,4,0,1,0,0,0,0,0,3,0,1,4,19,0,1,0,5,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,335
GUANACES(BARBALHO),0,0,12,0,0,15,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,7,0,0,0,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,4,0,18,0,0,0,13,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,177
MUTIRÃO,61,1,86,18,19,42,0,3,59,90,0,220,15,0,0,39,0,3,0,1,0,10,2,3,0,0,59,0,0,1,2,0,1,5,60,7,28,0,20,46,1,0,29,1,2,1,0,0,0,2,0,0,0,5,8,0,0,1,0,1,2,0,0,46,78,47,24,1,0,4,14,2,1,8,41,33,1,1,42,1,36,3,6,18,4,2,21,2,5,61,4,0,1,0,3,20,114,148,14,26,0,17,0,204,8,1,25,13,35,1,0,34,6,49,12,0,12,15,4,6,13,5,2,1,0,4,11,4,13,1,5,2,0,2,4,0,19,0,2314
GUANACES(CHORO SERROTE),1,0,42,2,0,11,0,0,5,51,0,29,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,56,0,0,0,0,45,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,3,16,4,0,45,0,0,0,12,0,0,0,2,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,1,1,0,0,8,0,0,0,0,4,0,413
CAPONGA(ESTRADA DE AGUAS BELAS),6,39,7,0,7,4,0,77,4,1,0,7,0,0,6,1,0,0,0,7,0,2,0,5,0,0,3,0,0,1,0,0,27,0,38,1,5,0,1,11,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,0,0,40,0,0,0,0,0,2,1,0,0,2,0,1,0,0,2,110,0,0,0,0,26,0,0,3,0,51,0,27,5,80,6,0,115,0,24,0,0,0,0,0,1,3,10,2,1,0,15,0,0,11,0,0,0,31,0,0,1,19,0,1,0,0,0,0,0,0,2,1,0,882
GUANACES(BOA ÁGUA),1,0,2,0,2,253,1,0,115,48,0,2,1,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,10,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27,1,0,0,0,1,0,0,0,0,9,0,0,6,0,1,2,0,16,1,0,0,0,0,4,0,0,0,0,0,3,4,5,0,6,0,0,0,7,0,0,0,0,5,2,0,0,0,1,17,0,35,17,0,3,0,0,0,0,0,0,2,6,2,0,0,5,0,1,0,0,0,0,655
ALTO LUMINOSO,178,1,91,5,30,30,1,1,58,69,0,287,4,0,0,44,1,2,0,2,8,2,2,1,0,0,147,0,0,0,2,1,0,2,75,2,53,1,18,48,1,4,39,2,1,0,2,1,0,0,0,0,0,2,1,0,3,1,0,1,0,0,0,67,48,56,26,4,1,4,12,0,2,3,38,13,0,3,25,2,13,0,4,4,19,0,18,0,21,67,2,2,2,0,3,19,97,260,8,27,1,13,0,139,5,1,23,12,17,1,0,64,3,34,23,0,16,15,0,4,0,3,4,2,0,2,6,10,14,0,2,2,0,0,0,0,8,0,2518
CAMURIM,7,3,18,0,12,6,1,3,17,4,0,20,0,0,0,8,0,0,0,2,0,1,0,2,0,0,1,0,0,0,2,0,11,1,47,0,25,0,0,29,4,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,20,3,0,0,2,0,0,0,0,4,7,0,0,8,0,5,0,0,16,41,0,0,0,1,23,0,0,0,0,13,0,12,11,8,35,1,51,0,3,7,1,4,0,3,0,0,7,0,16,8,0,17,0,29,1,0,1,1,0,0,0,36,2,0,0,0,0,0,2,0,0,0,0,651
BESSALANDIA,40,1,109,2,14,45,5,3,86,61,0,85,8,0,0,27,3,3,0,0,4,12,2,1,0,4,32,0,0,2,1,0,14,0,29,6,53,3,24,85,0,4,44,10,2,0,3,0,0,6,2,0,0,0,1,0,0,0,0,3,0,0,1,41,64,40,44,0,5,20,12,0,2,16,32,25,0,7,122,1,42,1,8,27,4,1,22,13,3,94,2,4,3,2,1,13,51,66,18,39,7,16,1,79,3,0,23,3,13,1,2,30,9,32,14,0,29,3,1,4,5,1,0,5,6,18,25,9,20,3,7,1,0,0,1,1,3,10,2070
MOITA REDONDA,6,0,13,0,1,8,0,0,60,80,0,17,3,0,0,15,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,11,0,37,0,2,37,0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,35,3,0,0,2,4,3,1,1,7,11,0,0,19,0,1,0,0,1,0,0,0,1,0,25,1,0,0,1,0,2,2,36,1,2,0,4,0,42,0,0,7,1,3,0,0,0,0,0,4,0,2,2,3,0,0,0,1,1,0,0,2,13,260,0,0,0,0,0,0,0,0,0,826
JACARECOARA,19,0,5,0,0,41,2,1,23,24,0,7,1,0,0,161,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,25,0,51,0,4,108,0,2,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,13,1,21,1,0,2,0,0,1,2,75,0,0,1,0,5,1,0,8,21,0,3,0,0,26,0,0,1,0,5,2,4,11,0,13,1,5,51,12,0,0,5,1,0,0,0,11,1,3,4,0,1,2,0,0,0,0,0,1,0,0,6,0,1,2,3,0,0,4,1,0,0,0,842
GUANACES(LAGOA DE SOUSA),9,1,4,0,1,65,0,0,4,6,0,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,370,0,0,0,1,6,0,0,0,1,0,0,0,0,0,9,0,0,1,12,0,0,0,0,7,0,0,0,0,0,0,2,6,4,2,0,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0,1,0,0,0,0,597
PITOMBEIRAS,15,0,1,0,9,54,0,0,24,39,0,2,7,0,0,70,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,40,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,60,3,0,9,0,13,0,6,4,80,0,0,0,0,0,0,0,0,2,0,7,3,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,1,0,0,0,0,529
CAPONGA(CENTRO),1,40,10,0,12,3,1,98,9,4,0,4,0,0,13,1,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,33,1,30,0,9,0,2,16,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,2,3,0,25,0,2,0,0,0,2,3,0,1,0,0,7,0,0,5,54,0,0,0,0,12,0,0,0,0,52,0,18,9,76,4,0,74,2,17,1,0,1,0,0,0,5,10,2,1,1,3,3,0,3,1,0,1,16,1,0,0,16,0,1,0,0,0,0,0,1,8,1,0,775
GUANACES(CHORO UMARI - 2),6,0,0,0,0,4,0,0,22,5,0,46,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,13,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,16,0,0,0,0,0,15,13,22,1,16,0,0,0,33,0,0,5,40,4,0,0,8,0,0,2,0,1,11,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,339
JACARECOARA(MANGABEIRA),6,0,9,0,0,1,0,0,6,16,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,9,0,6,69,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,2,52,0,0,4,0,1,1,1,12,0,1,6,0,1,0,0,1,0,0,2,1,0,4,0,0,0,0,0,0,7,3,0,2,0,1,1,0,0,0,3,0,0,0,0,4,1,1,1,0,2,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,302
TIJUCUSSU 2,45,2,11,0,0,5,0,0,8,30,0,20,0,0,1,11,0,0,0,1,0,8,0,1,0,1,3,0,1,0,2,0,4,0,13,0,6,0,1,33,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,4,19,5,1,0,0,1,0,0,0,8,7,0,0,3,0,8,0,1,3,6,0,0,1,0,20,0,0,0,0,1,0,1,9,4,13,0,48,4,7,1,0,2,1,0,0,0,1,0,9,4,0,0,0,5,6,24,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,469
GUANACES(NEVES DOIS),1,0,4,0,4,17,0,0,12,4,0,1,0,0,0,3,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,3,6,1,38,0,0,0,34,0,0,0,0,1,1,0,0,0,1,1,0,1,29,0,0,0,0,0,0,0,1,0,18,0,0,0,17,0,0,0,0,0,0,281
GUANACES(CHORO JATOBA 1),0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
SITIO BICA,12,1,17,0,9,18,0,0,41,26,0,7,2,3,0,24,0,0,0,0,0,2,0,0,3,0,16,0,0,0,0,1,1,2,7,0,26,1,10,34,1,7,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,60,4,31,21,16,5,0,1,0,1,5,11,9,0,0,28,0,18,0,0,6,2,0,4,2,1,71,0,2,1,0,0,7,12,13,2,3,0,10,0,26,7,0,8,3,2,0,0,2,4,1,12,0,2,4,0,0,0,0,0,2,0,15,12,2,2,0,27,1,0,0,0,0,0,0,771
GUANACES(CURRALHINHO),1,0,2,0,0,13,0,0,1,25,0,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,19,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,9,0,0,2,1,0,0,0,0,0,0,173
GUANACES(ALAGADICINHO),3,0,0,0,0,1,1,0,12,0,0,14,2,0,0,7,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13,3,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,7,0,0,0,77,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,208
SITIO BURITIZAL,12,0,17,0,0,24,4,0,68,30,0,19,4,0,0,9,0,0,0,0,0,3,0,0,0,0,21,0,0,0,0,16,2,0,41,7,44,0,3,9,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,2,16,3,0,0,1,6,0,2,0,3,2,0,0,3,0,5,0,0,24,13,1,4,0,0,40,0,1,0,0,0,0,13,9,10,7,0,12,0,18,1,0,0,0,4,0,1,3,1,40,11,0,9,6,1,0,0,1,1,0,0,2,8,8,10,0,0,0,0,1,0,0,0,0,703
