Bairro,10000 LUZIANE	DO	MUCURA,10111 PROFESSORA	NONATA	COSTA,10123 PAULINHO	PROMOÇÕES,10222 MICHAEL	SULLYVAN,10333 DAVID	GARCÊS,10456 GLEIDSON	DA	BOA	AGUA,10555 PROFESSORA	ADRIANA,10610 KINZINHO	DO	VOLMIR,10777 PAULO	DA	JUDITE,10789 FLÁVIO	CASCAVELENSE,10888 PROFESSORA	LINDETE,11000 FREITAS	DA	SAÚDE,11111 PASTORA	HELENA	CORDEIRO,11123 DALVA	DO	MANGUINHOS,11190 MAGALY	MORAIS,11222 SEBASTIÃO	UCHÔA,11234 TIA	LURDES,11444 EVILÁSIO	DANTAS,11555 LÉO	DA	BICA,11666 LIBERATO	FILHO,11777 DIONES	LIMA,11789 EDUARDO	CRUZ,11888 SÉRGIO	DO	TANGA,11999 JAIRO	TAXISTA,12012 MARIANGELA,12111 CRISTIANE	GOMES,12123 NENEM	DA	VIUVA,12333 IAGO	MOURA,12344 ALDIZIO,12345 DR	GUTEMBERG,12555 HELIO	ALEGRIA,12666 MARIA	ELENICE,12777 VITORIA	MARTINS,12789 DAYANE,12888 NETO	POLI,13000 MARIA	JÔ,13123 PROFESSOR	ADEILDO,13222 FÁBIA	NAPOLEAO,13444 TIAGO	ROCHA,13456 ENFERMEIRA	LEUDA	CARVALHO,13567 PROFESSOR	OZELITO,13789 PROFESSOR	ERIVAN,18000 PROFESSOR	JOSÉ	BESOURO,18024 JOJO,18111 SILVIA	DECORAÇÕES,18133 ANIZIA,18209 EDNILDA,18235 CLENILSON	DA	MANGABEIRA,18400 UELITON	FARIAS,18444 ELIANE,18555 TICO,18666 DR	AURÉLIO,18713 JERUSALEM,18777 FABIO	MARTINS,18888 PROFESSOR	SILVESTRE,18999 PROFESSOR	BOSCO,20111 ALEUTON	SEM	RECURSO,20123 PEDRO	ARTUR,20333 CELIA	DAS	MARIAS,20444 DR	MARCIO	OLIVEIRA	ADVOGADO,20456 VERA	DANTAS,20777 CLAUDIA	MARIA,22000 CLAUDEMIR	TOCA	FOGO,22100 NÚBIA	DO	ABRIGO	MASCOTINHO,22111 VINÍCIUS	OLINDA,22222 RAFAEL	AZEVEDO,22300 GILBERTO	DA	MANGABEIRA,22333 TAZIA	XAVIER,22444 EDILENE	QUEROGA,22555 RAFAEL	OLIVEIRA,22678 PASTORA	PATRÍCIA,22777 GUI	DA	PADARIA,22888 LEIDIANE	CIRÍACO,22999 PITANGA	DA	FUNERÁRIA,27000 LAURO	CARDOSO,27007 SAMIA	REGIS,27111 DIEGO	MARADONA,27123 MARCIO	RABELO,27333 GALILEU,27456 ENFERMEIRA	MARCIA,27555 FAFA,27777 SERGINHO	PARATLETA,27888 MARCELO	DO	PAREDÃO,27999 JUNIOR	GENRO	JULIO,28000 VLADIA	DE	OLIVEIRA,28007 JOSUÉ	CORREIA,28028 MAILSON,28111 JORGE	RODRIGUES,28123 PRISCILA	LIMA,28124 MARLY	DO	BENJAMIN,28333 ADILENE	NOBRE,28456 HAVAGARDO	SILVA,28555 DR	RUBENS,28666 FANTIQUIM,28777 CLENILDO	QUEIROZ,28888 VALDECIR,40000 VIEIRA	DO	TIQUINHO,40111 ALLISON	CAMILO,40123 BETO	RAMIRES,40222 NETA	FREITAS,40444 ADONIAS	DO	TURISMO,40456 JORDANA	BRAGA,40555 NOVO	CONSTRUÇÃO,40789 GIRLANE	DO	CEDRO,40888 ENFERMEIRA	NATECIA,44000 OLIVEIRA	SILVA,44111 DODÓ,44123 GAVIÃO	SILVA,44222 LALÁ,44333 ELISANGELA	SILVA,44444 KEKEU	DO	MUCURA,44456 JEOVANE	DO	GÁS,44555 LURDENIS	VIEIRA,44567 NETO	DANTAS,44777 NILDE	BORGES,44789 LUCIÉDSON	FREITAS,44900 SHEIK	DO	DR	BRUNO,45000 MAJU,45111 BAMBAM	DAS	PEGADINHAS,45112 LUCIANA,45121 MAZE,45123 DUDU	DA	CAPONGA,45222 YURI	MOTA,45234 ALZANIR,45444 PALOMA	DELRIO,45555 FRANCISCO	DO	BALBINO,45678 JUNIOR	DO	ZE	AIRTON,45777 BRUMARK,45789 PATRICIA,45888 ZE	DO	JORNAL,70000 RONALDO	FEITOSA,"70007 TONI	
CARVALHO",70100 RUBENILTON,"70123 LU	
MAIA",70133 LEILDA	LELÊ,70555 HELENA	PORFÍRIO,70888 DINIZ,Total Votos,Total Votos,Total Esperado
CENTRO,133,15,421,11,146,164,31,19,517,234,0,385,84,0,5,209,10,10,0,18,14,65,10,16,9,8,97,0,0,6,17,21,34,7,230,73,356,170,429,16,25,203,28,2,11,2,1,0,17,10,13,6,4,16,6,4,0,0,25,0,23,1,326,297,172,202,38,15,9,59,4,10,37,185,177,9,8,139,0,163,12,24,99,51,15,45,15,5,374,7,40,4,10,18,32,261,230,62,190,25,138,11,258,11,2,90,19,54,13,2,140,61,96,119,0,214,35,14,33,21,11,9,23,4,29,82,29,49,17,67,2,0,10,1,5,26,11,8666,18128,0
CAPONGA(ESTRADA DO PRATIUS),19,91,50,4,25,4,5,229,27,19,0,20,0,2,24,3,0,0,0,23,1,5,0,30,0,0,7,0,0,4,0,0,111,0,47,1,13,14,39,2,0,57,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,12,0,0,8,25,7,0,36,0,2,0,0,7,4,10,0,4,4,0,9,0,2,3,160,0,0,0,0,31,0,0,0,0,149,0,46,7,140,19,0,179,0,53,0,0,0,0,4,2,2,4,5,9,0,19,15,3,35,4,0,0,60,1,0,0,60,0,5,0,7,2,0,2,2,1,0,0,1735,3780,0
GUANACES,108,7,13,6,17,230,0,0,112,168,0,62,7,0,0,76,5,87,0,1,3,0,0,0,0,1,17,0,0,0,0,0,7,0,61,3,114,11,27,0,13,60,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,32,7,234,10,0,0,1,42,2,2,1,7,27,0,0,5,1,48,4,0,79,19,0,1,2,0,102,3,1,0,0,5,6,38,39,19,259,0,9,3,229,0,3,3,14,12,20,0,6,0,11,50,0,90,139,0,2,6,2,0,2,0,23,20,180,7,0,6,130,1,5,0,0,0,0,2910,6117,0
ESPAÇO NOBRE,8,2,34,0,1,17,0,0,16,11,0,14,4,0,0,25,0,0,0,0,0,12,0,3,0,2,8,0,0,0,6,3,2,0,13,1,16,12,23,0,3,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,17,26,12,5,3,2,1,5,1,5,9,3,0,0,6,0,10,0,3,11,1,5,29,0,1,12,0,4,2,2,6,1,22,5,5,6,0,6,4,12,5,0,7,2,0,0,0,11,0,8,14,0,12,0,0,4,3,0,1,3,0,0,8,1,15,0,2,0,0,0,1,0,0,0,534,1127,0
RIO NOVO,99,2,213,6,42,81,2,5,186,195,0,311,42,1,0,63,1,12,0,5,7,26,15,2,4,2,60,0,0,2,23,0,14,9,92,12,115,71,120,7,1,72,2,5,4,1,3,0,4,0,2,3,5,21,2,2,0,0,8,0,3,0,107,136,88,61,5,6,17,18,2,15,41,71,70,3,4,110,0,87,1,17,56,23,2,39,11,27,178,34,5,0,11,5,35,136,190,33,88,3,39,3,326,10,1,37,5,69,27,0,94,12,69,63,0,56,25,4,21,10,25,7,13,2,22,55,20,61,0,23,4,0,2,3,3,14,2,4538,9385,0
CHORO VAQUEJADOR,11,0,25,0,2,21,0,0,9,23,0,38,1,0,0,11,0,0,0,0,1,1,0,0,0,1,11,0,0,1,0,1,0,0,6,0,28,2,8,31,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,5,0,0,7,0,1,0,5,0,12,1,0,0,7,0,4,0,0,2,0,0,11,0,0,12,2,0,0,0,0,70,16,16,0,22,0,0,0,15,3,0,7,1,0,0,0,4,3,18,22,1,33,1,0,0,1,0,0,0,0,1,4,2,0,0,0,1,0,2,0,0,0,0,617,1234,0
SITIO PEDRO DE SOUZA,7,12,13,0,0,0,3,3,0,4,0,64,0,0,0,3,0,0,0,3,0,14,0,6,0,0,8,0,0,0,0,0,4,0,22,5,6,3,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,12,0,0,0,0,0,0,0,3,4,5,0,0,4,0,0,0,3,0,14,0,0,3,0,13,0,0,0,0,5,0,43,3,9,5,0,18,0,7,0,0,6,0,3,0,0,0,0,0,5,0,3,6,21,0,3,0,7,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,337,766,0
GUANACES(BARBALHO),0,0,12,0,0,15,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,19,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,7,0,0,0,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,4,0,18,0,0,0,13,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,177,354,0
MUTIRÃO,67,2,92,22,25,48,0,4,65,96,0,226,19,0,0,44,0,6,0,1,0,14,2,5,0,0,65,0,0,1,3,0,2,9,66,8,33,24,52,2,0,34,2,4,1,0,0,0,2,0,0,0,6,13,0,0,1,0,1,3,0,0,52,84,52,28,1,0,4,16,3,2,11,47,38,1,2,48,2,42,5,10,24,5,3,26,3,6,67,7,0,1,0,6,26,120,154,20,31,0,23,0,210,9,3,31,18,40,2,0,39,9,55,14,0,16,21,7,9,17,6,4,1,0,6,15,6,16,2,8,2,0,3,7,0,24,0,2320,4960,0
GUANACES(CHORO SERROTE),1,0,42,2,0,11,0,0,5,51,0,29,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,56,0,0,0,0,45,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,3,16,4,0,45,0,0,0,12,0,0,0,2,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,1,1,0,0,8,0,0,0,0,4,0,413,826,0
CAPONGA(ESTRADA DE AGUAS BELAS),12,45,10,0,13,5,0,83,7,1,0,13,0,0,12,4,0,0,0,11,0,3,0,11,0,0,6,0,0,4,0,0,33,0,44,4,11,4,17,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,0,46,0,0,0,0,0,7,4,0,0,3,0,1,0,0,3,116,0,0,0,0,32,0,0,6,0,57,0,33,11,86,9,0,121,0,30,0,0,0,0,0,1,4,16,4,2,0,21,0,0,17,0,0,0,37,0,0,4,25,0,1,0,0,0,0,0,0,6,2,0,888,1996,0
GUANACES(BOA ÁGUA),6,0,8,0,3,262,6,0,124,57,0,3,6,0,0,17,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,19,0,19,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,36,4,0,0,0,6,0,0,0,0,18,0,0,15,0,2,7,0,25,2,0,0,0,0,8,0,0,0,0,0,11,13,9,0,15,0,0,0,15,0,0,0,0,14,10,0,0,0,4,26,0,44,26,0,6,0,0,0,0,0,0,3,15,3,0,0,13,0,6,0,0,0,0,664,1588,0
ALTO LUMINOSO,183,2,96,7,35,35,1,1,63,74,0,292,6,0,0,49,1,3,0,3,9,5,3,1,0,0,152,0,0,0,5,2,0,4,80,3,57,23,53,1,6,44,4,2,0,4,3,0,0,0,0,0,3,1,0,5,1,0,2,0,0,0,72,53,61,31,5,2,7,14,0,3,5,43,16,0,3,29,3,17,0,7,4,24,0,22,0,26,72,2,3,4,0,5,24,102,265,12,31,1,15,0,144,7,1,28,16,20,1,0,69,3,39,28,0,18,20,0,5,0,6,5,2,0,2,9,14,19,0,2,3,0,0,0,0,11,0,2522,5301,0
CAMURIM,8,4,19,0,13,7,2,4,18,5,0,21,0,0,0,9,0,0,0,2,0,2,0,2,0,0,1,0,0,0,2,0,12,1,48,0,26,0,30,5,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,21,4,0,0,2,0,0,0,0,5,8,0,0,9,0,5,0,0,17,42,0,0,0,1,24,0,0,0,0,14,0,13,12,9,36,1,52,0,3,8,1,5,0,3,0,0,8,0,17,9,0,18,0,30,2,0,1,1,0,0,0,37,3,0,0,0,0,0,3,0,0,0,0,652,1349,0
BESSALANDIA,44,2,114,3,18,50,8,4,91,66,0,90,10,0,0,32,4,5,0,0,8,17,3,2,0,6,37,0,0,3,1,0,19,0,34,9,58,27,90,0,5,49,15,3,0,5,0,0,9,4,0,0,0,1,0,0,0,0,6,0,0,1,46,69,45,49,0,7,24,16,0,3,20,37,30,0,10,127,2,47,1,12,32,7,2,27,16,5,99,2,6,3,3,2,17,56,71,23,44,9,20,1,84,3,0,28,5,16,1,4,35,12,37,17,0,33,4,1,7,9,2,0,7,10,23,30,13,24,5,11,2,0,0,2,1,4,13,2072,4458,0
MOITA REDONDA,6,0,13,0,1,8,0,0,60,80,0,17,3,0,0,15,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,11,0,37,2,37,0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,35,3,0,0,2,4,3,1,1,7,11,0,0,19,0,1,0,0,1,0,0,0,1,0,25,1,0,0,1,0,2,2,36,1,2,0,4,0,42,0,0,7,1,3,0,0,0,0,0,4,0,2,2,3,0,0,0,1,1,0,0,2,13,260,0,0,0,0,0,0,0,0,0,826,1652,0
JACARECOARA,21,0,7,0,0,43,3,2,25,26,0,9,1,0,0,163,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,27,0,53,5,110,0,3,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,8,15,1,23,1,0,4,0,0,1,3,77,0,0,1,0,6,2,0,10,23,0,5,0,0,28,0,0,1,0,7,3,6,13,0,15,1,6,53,13,0,0,6,2,0,0,0,13,2,4,6,0,1,2,0,0,0,0,0,2,0,0,7,0,2,3,3,0,0,5,2,0,0,0,844,1763,0
GUANACES(LAGOA DE SOUSA),10,2,5,0,1,66,0,0,5,7,0,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,371,0,0,0,1,7,0,0,0,1,0,0,0,0,0,10,0,0,1,13,0,0,0,0,8,0,0,0,0,0,0,3,6,4,3,0,0,2,3,0,0,0,0,4,1,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,2,1,1,0,0,6,0,2,0,0,0,0,598,1222,0
PITOMBEIRAS,17,0,2,0,11,56,0,0,26,41,0,3,9,0,0,72,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,42,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,7,0,0,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,21,62,5,0,11,0,15,0,7,5,82,0,0,0,0,0,0,0,0,4,0,9,4,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,2,0,0,0,0,531,1113,0
CAPONGA(CENTRO),1,42,12,0,14,5,1,100,11,6,0,6,0,0,15,3,0,3,0,2,0,0,0,4,0,0,0,0,0,3,0,0,35,1,32,0,11,2,18,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,10,4,5,0,27,0,2,0,0,0,2,3,0,1,0,0,9,0,0,5,56,0,0,0,0,14,0,0,0,0,54,0,20,11,78,6,0,76,2,19,1,0,1,0,0,0,7,12,4,1,3,3,5,0,5,3,0,1,18,1,0,0,18,0,3,0,0,0,0,0,1,10,3,0,777,1642,0
GUANACES(CHORO UMARI - 2),8,0,0,0,0,6,0,0,24,7,0,48,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,3,15,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,7,0,0,0,6,0,0,0,0,0,6,0,0,4,0,0,0,0,0,18,0,0,0,0,0,17,15,24,3,18,0,0,0,35,0,0,7,42,6,0,0,10,0,0,4,0,3,13,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,341,750,0
JACARECOARA(MANGABEIRA),7,0,10,0,0,2,0,0,7,17,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,10,7,70,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,3,53,0,0,5,0,2,2,2,13,0,2,7,0,2,0,0,2,0,0,3,2,0,5,0,0,0,0,0,0,8,4,0,3,0,2,2,0,0,0,4,0,0,0,0,5,2,2,2,0,3,0,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,303,649,0
TIJUCUSSU 2,47,4,13,0,0,7,0,0,10,32,0,22,0,0,2,13,0,0,0,2,0,10,0,2,0,2,5,0,2,0,4,0,6,0,15,0,8,2,35,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,6,21,7,2,0,0,2,0,0,0,10,9,0,0,4,0,10,0,2,5,8,0,0,2,0,22,0,0,0,0,2,0,2,11,6,15,0,50,6,9,2,0,4,2,0,0,0,2,0,11,6,0,0,0,7,8,26,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,471,1034,0
GUANACES(NEVES DOIS),2,0,5,0,5,18,0,0,13,5,0,2,0,0,0,4,0,27,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,4,4,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,4,7,2,39,0,0,0,35,0,0,0,0,2,2,0,0,0,2,2,0,2,30,0,0,0,0,0,0,0,2,0,19,0,0,0,18,0,0,0,0,0,0,282,600,0
GUANACES(CHORO JATOBA 1),0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,232,0
SITIO BICA,12,1,17,0,9,18,0,0,41,26,0,7,2,3,0,24,0,0,0,0,0,2,0,0,3,0,16,0,0,0,0,1,1,2,7,0,26,10,34,1,7,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,60,4,31,21,16,5,0,1,0,1,5,11,9,0,0,28,0,18,0,0,6,2,0,4,2,1,71,0,2,1,0,0,7,12,13,2,3,0,10,0,26,7,0,8,3,2,0,0,2,4,1,12,0,2,4,0,0,0,0,0,2,0,15,12,2,2,0,27,1,0,0,0,0,0,0,770,1540,0
GUANACES(CURRALHINHO),1,0,2,0,0,13,0,0,1,25,0,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,19,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,9,0,0,2,1,0,0,0,0,0,0,173,346,0
GUANACES(ALAGADICINHO),3,0,0,0,0,1,1,0,12,0,0,14,2,0,0,7,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13,3,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,7,0,0,0,77,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,208,416,0
SITIO BURITIZAL,15,0,20,0,0,27,7,0,71,33,0,22,7,0,0,12,0,0,0,0,0,6,0,0,0,0,24,0,0,0,0,19,5,0,44,10,47,4,12,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,4,19,3,0,0,2,8,0,3,0,6,4,0,0,5,0,6,0,0,27,16,3,7,0,0,43,0,2,0,0,0,0,16,12,13,10,0,15,0,21,1,0,0,0,6,0,3,3,3,43,14,0,12,9,1,0,0,3,3,0,0,4,11,11,13,0,0,0,0,1,0,0,0,0,706,1550,0
