Bairro,10000 LUZIANE	DO	MUCURA,10111 PROFESSORA	NONATA	COSTA,10123 PAULINHO	PROMOÇÕES,10222 MICHAEL	SULLYVAN,10333 DAVID	GARCÊS,10456 GLEIDSON	DA	BOA	AGUA,10555 PROFESSORA	ADRIANA,10610 KINZINHO	DO	VOLMIR,10777 PAULO	DA	JUDITE,10789 FLÁVIO	CASCAVELENSE,10888 PROFESSORA	LINDETE,11000 FREITAS	DA	SAÚDE,11111 PASTORA	HELENA	CORDEIRO,11123 DALVA	DO	MANGUINHOS,11190 MAGALY	MORAIS,11222 SEBASTIÃO	UCHÔA,11234 TIA	LURDES,11444 EVILÁSIO	DANTAS,11555 LÉO	DA	BICA,11666 LIBERATO	FILHO,11777 DIONES	LIMA,11789 EDUARDO	CRUZ,11888 SÉRGIO	DO	TANGA,11999 JAIRO	TAXISTA,12012 MARIANGELA,12111 CRISTIANE	GOMES,12123 NENEM	DA	VIUVA,12333 IAGO	MOURA,12344 ALDIZIO,12345 DR	GUTEMBERG,12555 HELIO	ALEGRIA,12666 MARIA	ELENICE,12777 VITORIA	MARTINS,12789 DAYANE,12888 NETO	POLI,13000 MARIA	JÔ,13123 PROFESSOR	ADEILDO,13222 FÁBIA	NAPOLEAO,13444 TIAGO	ROCHA,13456 ENFERMEIRA	LEUDA	CARVALHO,13567 PROFESSOR	OZELITO,13789 PROFESSOR	ERIVAN,18000 PROFESSOR	JOSÉ	BESOURO,18024 JOJO,18111 SILVIA	DECORAÇÕES,18133 ANIZIA,18209 EDNILDA,18235 CLENILSON	DA	MANGABEIRA,18400 UELITON	FARIAS,18444 ELIANE,18555 TICO,18666 DR	AURÉLIO,18713 JERUSALEM,18777 FABIO	MARTINS,18888 PROFESSOR	SILVESTRE,18999 PROFESSOR	BOSCO,20111 ALEUTON	SEM	RECURSO,20123 PEDRO	ARTUR,20333 CELIA	DAS	MARIAS,20444 DR	MARCIO	OLIVEIRA	ADVOGADO,20456 VERA	DANTAS,20777 CLAUDIA	MARIA,22000 CLAUDEMIR	TOCA	FOGO,22100 NÚBIA	DO	ABRIGO	MASCOTINHO,22111 VINÍCIUS	OLINDA,22222 RAFAEL	AZEVEDO,22300 GILBERTO	DA	MANGABEIRA,22333 TAZIA	XAVIER,22444 EDILENE	QUEROGA,22555 RAFAEL	OLIVEIRA,22678 PASTORA	PATRÍCIA,22777 GUI	DA	PADARIA,22888 LEIDIANE	CIRÍACO,22999 PITANGA	DA	FUNERÁRIA,27000 LAURO	CARDOSO,27007 SAMIA	REGIS,27111 DIEGO	MARADONA,27123 MARCIO	RABELO,27333 GALILEU,27456 ENFERMEIRA	MARCIA,27555 FAFA,27777 SERGINHO	PARATLETA,27888 MARCELO	DO	PAREDÃO,27999 JUNIOR	GENRO	JULIO,28000 VLADIA	DE	OLIVEIRA,28007 JOSUÉ	CORREIA,28028 MAILSON,28111 JORGE	RODRIGUES,28123 PRISCILA	LIMA,28124 MARLY	DO	BENJAMIN,28333 ADILENE	NOBRE,28456 HAVAGARDO	SILVA,28555 DR	RUBENS,28666 FANTIQUIM,28777 CLENILDO	QUEIROZ,28888 VALDECIR,40000 VIEIRA	DO	TIQUINHO,40111 ALLISON	CAMILO,40123 BETO	RAMIRES,40222 NETA	FREITAS,40444 ADONIAS	DO	TURISMO,40456 JORDANA	BRAGA,40555 NOVO	CONSTRUÇÃO,40789 GIRLANE	DO	CEDRO,40888 ENFERMEIRA	NATECIA,44000 OLIVEIRA	SILVA,44111 DODÓ,44123 GAVIÃO	SILVA,44222 LALÁ,44333 ELISANGELA	SILVA,44444 KEKEU	DO	MUCURA,44456 JEOVANE	DO	GÁS,44555 LURDENIS	VIEIRA,44567 NETO	DANTAS,44777 NILDE	BORGES,44789 LUCIÉDSON	FREITAS,44900 SHEIK	DO	DR	BRUNO,45000 MAJU,45111 BAMBAM	DAS	PEGADINHAS,45112 LUCIANA,45121 MAZE,45123 DUDU	DA	CAPONGA,45222 YURI	MOTA,45234 ALZANIR,45444 PALOMA	DELRIO,45555 FRANCISCO	DO	BALBINO,45678 JUNIOR	DO	ZE	AIRTON,45777 BRUMARK,45789 PATRICIA,45888 ZE	DO	JORNAL,70000 RONALDO	FEITOSA,"70007 TONI	
SITIO HIGINO,5,0,4,0,1,2,0,0,9,8,0,9,1,0,0,28,0,0,0,0,0,0,0,0,3,0,7,0,0,1,0,0,3,0,2,0,11,1,14,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,29,0,1,0,0,0,1,0,13,3,0,0,3,0,4,0,0,11,0,0,1,1,0,12,0,0,0,0,0,5,8,5,1,2,1,2,1,1,0,0,1,0,2,0,0,3,0,1,5,0,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,263,526,0
JACARECOARA(RIACHO FUNDO),8,0,7,1,9,4,0,0,13,5,0,6,1,0,1,112,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,4,1,19,15,4,0,35,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8,3,19,3,0,0,0,2,0,1,2,2,17,0,1,3,0,3,0,0,2,0,0,1,0,0,15,0,0,0,0,0,2,4,10,0,0,0,1,0,5,0,0,33,1,3,0,0,1,12,4,2,0,0,1,0,2,0,2,0,0,0,0,7,4,1,0,6,0,0,0,0,0,0,0,453,906,0
JACARECOARA(CHORO PEDRINHAS),6,0,2,0,0,3,5,0,56,10,0,3,0,0,0,45,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,10,0,7,2,23,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,7,0,0,2,0,5,0,2,4,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,2,0,0,2,0,2,4,0,2,0,2,2,10,0,0,4,0,0,0,0,3,0,2,6,0,2,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,276,592,0
BARRA VELHA,5,0,15,1,0,4,0,0,7,11,0,22,1,0,0,58,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,2,27,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,0,0,0,2,0,3,0,0,7,0,0,2,0,0,0,0,24,30,0,4,0,0,12,0,0,0,0,0,3,2,8,2,3,0,19,0,11,0,0,19,0,2,0,0,9,1,7,2,0,6,0,0,0,0,0,0,0,0,0,3,4,0,0,2,0,0,0,1,0,0,0,354,746,0
COHAB,23,5,29,0,13,11,0,3,40,74,0,44,7,0,0,34,0,0,0,0,0,5,0,0,0,1,7,0,0,0,3,3,4,0,29,7,21,9,22,4,0,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,16,24,45,10,4,1,0,7,0,2,1,147,22,6,1,17,0,29,0,1,26,6,0,11,0,0,36,0,0,3,7,1,3,28,22,4,58,6,13,0,44,1,0,8,0,20,0,0,8,11,7,14,0,18,8,0,5,0,1,0,1,0,0,11,2,3,0,4,2,0,1,0,0,3,0,1001,2145,0
PITOMBEIRAS(POVOADO DE OITICICA),3,0,0,0,0,0,0,0,3,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2,18,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94,188,0
SITIO COAÇU,4,0,12,0,10,5,0,0,20,7,0,12,5,0,0,8,2,3,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,3,21,0,0,10,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,7,6,24,12,2,0,0,0,0,0,0,22,3,0,0,2,0,14,0,4,0,0,0,0,0,0,25,0,2,0,0,0,0,18,14,4,3,0,4,0,13,0,0,0,0,1,0,0,3,0,3,5,0,2,0,0,3,0,0,0,0,0,0,7,2,4,0,3,0,0,4,0,2,0,3,324,698,0
GUANACES(BRITO),0,0,6,0,1,13,0,0,2,7,0,5,3,0,0,80,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,15,1,0,0,0,6,0,0,5,11,2,0,0,0,0,1,0,0,0,2,0,0,7,0,42,1,0,2,0,2,4,9,7,0,217,0,1,0,8,0,0,1,1,0,0,0,0,0,7,2,0,4,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,3,0,0,0,0,484,990,0
MATA QUIRI,22,0,4,0,4,7,0,0,10,28,0,6,6,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,9,8,9,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,8,3,0,0,3,0,3,0,3,4,0,0,0,11,0,0,0,0,9,3,0,3,3,3,11,0,0,3,0,0,3,13,12,0,3,0,0,0,11,0,0,3,0,4,0,0,0,3,8,6,3,3,0,3,0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,225,543,0
GUANACES(CHORO ANGICO),0,0,2,0,2,3,0,0,23,6,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,183,0
BALBINO,4,6,2,0,0,2,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,6,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,7,0,0,0,0,1,0,0,3,0,0,0,0,0,15,0,0,0,0,8,0,0,0,0,41,0,8,0,47,0,0,20,0,9,0,0,0,0,0,0,0,0,0,5,0,31,0,2,6,0,0,0,0,0,0,0,357,3,0,0,0,0,0,3,0,0,0,0,604,1230,0
GUANACES(LOCALIDADE DE CHORO BEBEDOURO),0,0,5,0,0,6,0,0,7,6,0,2,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,28,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,104,224,0
CORREGO DO CAJUEIRO,0,0,1,0,0,3,0,0,0,0,0,44,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,4,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,86,172,0
GUANACES(SITIO SALGADINHO),5,0,2,0,0,11,0,0,12,0,0,4,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,5,0,0,0,0,0,0,0,0,0,0,100,218,0
TUJUCUSSU 1,57,0,55,0,5,21,0,6,37,7,0,60,0,0,0,5,0,0,0,1,2,28,0,0,0,3,3,0,0,1,0,4,9,3,84,4,19,3,41,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,4,14,1,3,0,0,8,0,4,0,17,13,0,0,33,0,6,2,0,6,13,0,6,6,0,27,0,0,0,0,1,4,16,9,6,17,0,18,0,23,1,0,6,0,3,0,0,1,3,9,1,0,10,0,5,1,7,10,7,0,0,0,9,0,15,0,0,2,0,2,0,1,4,0,738,1572,0
GUANACES(SITIO COQUEIRO),8,0,4,3,2,44,0,0,10,8,0,7,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,18,11,18,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,2,43,4,0,0,0,3,0,0,0,5,12,0,0,1,0,12,0,0,1,3,0,0,0,0,11,1,0,0,1,0,1,12,8,0,55,1,0,0,13,0,0,0,4,1,63,0,5,0,0,2,0,17,4,0,0,0,0,0,0,0,0,8,9,1,0,0,4,0,0,0,0,0,0,500,1000,0
JACARECOARA(TIM-TIM),2,0,2,0,0,2,0,0,5,2,0,4,0,2,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,4,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,2,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,131,286,0
GUANACES(PREAOCA),0,0,0,0,0,107,0,0,11,5,0,12,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,26,0,0,0,4,4,0,8,0,0,6,0,0,8,0,5,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,4,43,0,22,4,0,4,0,0,0,0,0,4,0,10,0,0,0,5,0,0,0,0,0,0,299,691,0
PITOMBEIRAS(MELANCIAS),0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,128,256,0
SITIO VACA MORTA,25,0,17,0,1,6,1,0,7,7,0,29,0,0,0,14,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,49,0,6,2,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,19,0,0,0,0,0,0,0,2,6,3,0,0,5,0,0,0,2,23,9,0,0,0,0,6,0,0,0,0,0,0,2,24,2,12,0,5,0,9,0,0,9,0,2,0,0,0,0,2,32,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,362,757,0
VILA PACHECO,11,0,44,1,6,17,0,0,31,38,0,11,2,0,2,9,0,0,0,0,1,22,0,0,0,1,36,1,0,0,0,1,13,0,24,5,13,4,20,2,0,26,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,9,11,32,7,7,3,0,3,0,10,6,15,5,0,0,37,3,3,0,0,10,5,0,17,8,0,47,3,1,2,0,0,2,56,18,5,4,0,13,0,22,1,0,5,0,1,2,0,6,6,10,4,0,4,5,0,0,0,0,0,9,0,15,6,4,17,0,1,0,0,0,0,0,0,0,761,1574,0
CHORO ESTRADA NOVA,2,0,5,0,0,1,0,0,6,7,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,9,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,30,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,3,0,0,0,0,1,7,0,0,1,1,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,142,284,0
CHORO CAJAZEIRAS,5,0,4,0,2,12,0,0,13,11,0,11,2,0,0,11,0,0,2,0,2,0,0,0,0,0,13,0,0,2,0,0,0,0,4,0,0,3,23,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,5,2,0,0,0,0,0,9,2,19,0,0,0,6,0,6,0,0,0,3,0,0,0,0,10,0,0,0,0,2,30,27,4,0,4,0,2,0,13,0,0,3,8,13,0,0,6,0,2,0,0,11,9,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,3,0,303,652,0
GUANACES(CHORO JATOBÁ 2),2,0,6,0,0,5,0,0,8,4,0,0,1,0,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,117,234,0
GUANACES(CHORO LAGOINHA),3,0,8,0,3,10,0,0,18,3,2,56,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,12,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,2,0,0,0,0,0,6,0,0,2,0,0,2,12,0,4,4,0,0,0,0,3,11,5,2,18,0,2,0,6,0,0,2,5,2,0,0,2,2,4,0,0,14,3,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,3,0,0,4,0,260,563,0
PITOMBEIRAS(CEDRO),1,0,0,0,0,11,0,0,0,13,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,4,0,0,0,0,0,6,35,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,378,0
PITOMBEIRAS(LOCALIDADE DE CRUZ),1,0,0,0,0,17,0,0,4,9,0,12,1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,43,5,1,0,0,0,0,0,0,3,5,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,4,0,159,318,0
ÁGUAS BELAS,2,0,3,0,0,0,0,4,1,2,0,2,0,0,4,4,0,0,0,44,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,2,2,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,135,0,0,0,0,3,0,0,0,0,7,1,18,1,11,2,0,234,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,560,1120,0
JACARECOARA(CHORO ESTRADA NOVA),2,0,25,0,0,0,0,0,7,9,0,7,0,0,0,13,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,8,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,66,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,2,5,1,1,0,0,1,9,0,0,4,2,0,0,0,0,0,21,1,0,1,2,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,2,0,243,486,0
CHORO PEDRA REDONDA,2,0,0,0,2,1,0,0,1,1,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,12,5,4,0,6,0,0,0,3,0,0,2,22,0,0,0,12,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,123,246,0
PITOMBEIRAS(CRISTAIS),2,0,0,0,7,28,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,1,59,1,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,133,0,0,0,0,0,0,1,7,8,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,416,832,0
BARRA NOVA,2,0,10,0,0,3,2,0,14,28,0,19,1,0,0,133,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,3,0,26,0,182,4,118,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,4,3,3,6,1,0,0,0,0,1,6,8,0,0,2,0,1,0,0,0,31,0,5,0,0,38,0,0,0,0,5,2,4,4,2,1,0,14,5,4,0,0,0,0,1,0,0,23,1,5,5,0,3,0,0,0,0,1,3,0,0,0,1,6,0,0,5,0,0,0,0,0,0,0,785,1570,0
CAPONGA(SITIO PRATA),14,3,30,0,7,15,1,0,11,7,0,24,0,0,2,9,0,0,0,9,0,4,0,5,0,0,2,0,0,0,0,0,6,0,15,1,16,8,28,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30,9,0,0,0,5,0,0,3,0,7,0,0,3,0,14,0,1,0,15,0,1,0,0,16,0,0,0,0,17,0,3,2,6,6,0,46,1,2,4,0,0,0,6,0,0,8,0,5,5,3,6,1,3,1,0,0,4,0,0,1,6,0,9,0,1,0,0,0,0,0,2,0,440,925,0
GUANACES(CHORO UMARI-1),5,0,4,0,0,21,0,0,8,2,0,40,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,6,0,3,0,0,0,0,2,0,2,0,4,0,0,0,7,0,4,0,0,0,0,2,21,0,0,5,0,0,0,0,0,6,10,6,8,11,0,0,0,9,0,0,0,2,0,0,0,4,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,215,465,0
SITIO MANGUINHO,0,0,5,0,4,0,0,0,2,15,0,6,0,4,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,0,14,2,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,5,0,0,2,0,10,0,0,0,2,0,4,0,0,7,0,0,0,0,4,0,4,7,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,137,304,0
GUANACES(PASSAGEM DO FRANCO 2),0,0,3,0,0,7,0,0,9,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,28,8,0,5,0,0,0,12,0,0,0,4,4,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,0,0,0,0,120,292,0
PITOMBEIRAS(BAIXIO DOS MACARIOS),4,0,3,0,0,4,0,0,7,19,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,7,0,43,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,292,0
JACARECOARA(CHORO ZABUMBA),6,0,0,0,1,1,0,0,15,1,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,21,1,0,0,0,0,0,13,0,1,6,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,5,0,0,3,0,0,0,1,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,138,276,0
SITIO ZUMBI,4,0,11,0,0,0,0,0,2,42,0,16,0,0,0,13,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,7,2,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,12,0,1,0,35,0,0,0,0,5,0,0,0,0,2,1,0,6,0,0,0,0,0,2,0,0,0,8,1,3,1,0,3,0,0,0,0,0,0,238,476,0
Total Votos,1101,247,1598,67,461,1678,79,475,1985,1734,2,2301,239,15,67,1755,26,189,4,140,54,269,35,95,19,27,652,2,2,37,67,57,336,37,1305,159,1593,494,2053,86,113,1041,61,18,23,13,7,7,32,21,18,9,18,72,28,20,2,1,57,32,50,3,1068,802,1976,552,181,166,79,367,22,204,167,799,680,20,36,735,11,645,41,88,579,864,32,295,100,75,1691,67,68,32,36,418,446,1552,1391,635,1508,48,1197,100,1967,144,119,394,182,339,156,23,599,163,553,601,82,804,401,171,121,104,73,169,77,16,182,896,435,575,28,194,221,1,72,20,29,111,29,48076,101088
